124519	play with a chihuahua
3303216	make a successful group in roblox
656657	straighten curly hair
581973	personalize your own bag
1392669	install replacement windows
65486	make a myspace contact box
324825	overcome fear of disease
28073	stick fight
339749	make microwave oatmeal
1465877	buy a pomeranian
714436	become a cell phone dealer
2998661	sign up for airbnb
872823	do outdoor activities with teddy bears
1688633	play poker for free
2030266	fight girls
42371	walk in a swamp
349616	dress like angelina ballerina
1749248	reinstall outlook express
1254530	get married in hawaii
517867	make blueberry banana bread
82354	date a stripper
1339114	buy art
2930547	upgrade to snow leopard
670497	project your hindustani singing voice
993644	build a modular home
74736	do the hustle
4850297	talk to god
269998	keep someone from breaking into your car
1305781	find a match
1547386	buy a keg
1977670	make a smiley face on paint.net
672279	play dwarf fortress
3894575	be awesome in your class
254308	breed dogs
521972	repair hardwood flooring
1384749	convert money
2647845	wear your seat belt
229843	become a coroner
837648	donate blood
404055	crochet curtains
933512	slim down
1009188	get your facebook page noticed
3698433	paddle board
751682	play red alert2
125156	sell paintings
1696326	download world of warcraft
244238	shop smart
1144176	use your digital camera's iso setting
1458016	make a quick french onion soup
787865	make a hotdog with cheese